gender ldlsiu02
M 4.540007591
F 2.716954947
F 3.86865592
F 3.617995024
M 3.286469936
F 2.31183219
M 4.040443897
F 3.501444101
M 2.416435957
F 2.973072529
F 2.875632048
M 5.488604069
M 3.744528055
F 2.640719652
F 1.989797711
M 3.410416842
F 6.588688374
F 4.669307232
F 3.516959906
M 2.390575886
M 3.408348083
F 2.511031866
F 3.330768108
F 1.419765711
M 3.882413626
M 1.949999213
M 3.012353897
F 4.344066143
F 2.422926903
M 3.747553587
M 3.861337662
F 4.106128216
M 5.210841656
F 3.807290316
F 2.700327158
F 3.269221306
M 4.459557056
F 2.542632818
F 1.42434299
M 2.752978086
F 3.793894768
M 2.9874506
M 4.078561783
M 4.415698528
M 3.309459448
M 4.408819675
M 4.478150368
F 4.767187595
M 4.282415867
M 4.258443832
M 3.649466753
F 3.38473773
M 2.519074202
F 4.519681454
M 3.283599377
M 2.767019987
M 4.42547369
F 3.315174341
F 3.915204048
F 3.211812019
F 2.489412785
F 3.389521837
F 2.400118351
F 3.606952906
M 2.617963076
M 4.282571316
M 3.560585737
M 2.414910316
M 3.599867105
F 3.935892105
M 3.518459797
F 4.160356998
F 3.956579924
M 3.456576824
F 4.728138924
F 3.211760283
M 3.032860756
M 4.077992916
F 3.139740229
F 3.335888386
M 1.94211185
F 4.230696201
M 1.841956139
F 3.798471928
F 2.084031582
F 4.217792034
F 4.529663563
F 3.080908775
F 2.815998793
F 2.513488531
F 6.673923016
M 3.627459764
M 4.396924019
M 3.490298271
F 2.722721815
F 4.427231789
M 1.466106892
M 4.269175529
M 4.725061417
F 2.897457838
F 4.319318295
F 3.940443277
M 3.546414614
F 3.451016903
M 5.130572319
M 3.446620703
M 3.46425724
F 4.608769417
F 3.060220718
M 2.614704609
F 4.70551157
F 3.996947527
F 2.521582842
M 3.510805368
M 4.481020927
F 4.339463234
F 4.636361599
M 2.684267998
F 2.558562517
M 2.862339973
M 2.376585722
F 5.008176804
F 2.440175533
F 3.304908037
F 4.076441288
F 4.044504166
M 4.12989378
M 2.889751673
M 3.645458221
F 4.385778427
F 1.701588035
M 3.391461372
M 3.627640724
F 5.038251877
M 3.127689362
F 3.12975812
F 3.197976828
M 4.052701473
F 2.91620636
F 3.289391994
M 2.417780638
M 2.979951143
F 2.756675959
F 3.309459448
M 4.689245701
F 3.50519371
F 3.696583509
F 4.592735767
M 3.248171091
M 2.650908709
F 2.43601203
F 4.040443897
F 4.519888401
F 2.64935708
F 2.786285639
F 3.806591988
F 4.114946842
M 4.416888237
M 2.906250238
F 3.305244207
F 3.230689764
M 3.878999949
F 3.027662992
F 3.07017684
F 4.881333828
F 3.330121517
M 2.240381002
M 2.718894482
F 3.460067987
M 4.504010201
F 3.102734566
M 1.851575971
M 3.999636889
F 4.592735767
M 2.230243921
F 5.187438488
F 3.226810694
F 2.967124701
M 3.070952654
F 2.832859516
F 3.632399082
M 4.985575199
M 3.207157135
M 2.465466499
M 1.274536014
F 3.227328062
M 2.998363495
F 3.804626703
F 2.318348885
M 3.147213697
M 3.149748087
M 2.795465946
M 4.865636349
M 3.946235895
M 6.617444515
F 5.012392044
F 2.665235043
F 4.296173573
M 2.953212023
M 5.082110405
M 5.412937641
F 3.335112572
F 2.798750162
F 2.508419991
M 3.752725601
M 5.222349644
M 3.125956774
F 3.077288389
F 4.747896194
F 2.538831472
M 4.504811764
M 4.308431149
M 4.485029221
M 3.408348083
F 3.448896408
M 4.166097641
M 5.441280365
M 3.963820696
F 4.355522156
F 2.968728065
F 4.287743092
F 3.057945013
F 4.544403553
M 3.442405701
M 2.943411112
M 4.303103924
M 3.939693451
M 5.156251431
F 2.996449947
M 3.72533989
M 5.696053028
M 3.120396852
F 1.9363451
F 4.029505253
F 3.201209307
F 4.023816109
F 4.008817196
F 3.191434383
F 3.258101463
M 4.054848194
M 2.296367884
M 3.38473773
M 3.160634995
F 5.168689728
F 1.018883944
F 5.864815235
F 4.726018429
M 3.932013035
F 2.010097742
F 3.692807913
F 3.310209274
F 4.016652584
F 3.573852062
F 3.590066195
F 3.528209209
F 3.837184429
F 4.98979044
M 3.21636343
M 4.758240223
M 2.017080069
F 3.244886875
M 4.112076283
M 2.82908392
M 3.356627941
F 3.999817848
M 3.790662289
M 4.951284885
M 3.790274382
F 3.235137701
F 2.715817213
F 3.065625429
M 1.737740278
M 4.032556534
F 6.392591953
M 3.216984034
F 2.788173437
F 2.693034649
F 3.464438438
F 2.261663914
F 2.637073517
F 4.178898335
M 2.526961565
F 3.103199959
F 3.47558403
M 4.153840065
M 3.666146278
M 3.673413038
F 2.896320105
M 2.586724043
F 3.134232044
F 4.629663944
M 3.411761522
F 3.004931927
M 3.076719284
F 5.581492901
M 2.803741217
M 3.30351162
F 4.682909966
M 3.105087757
F 6.160964012
M 2.991303682
M 3.051816225
M 6.046404362
M 3.42515707
F 3.020447969
M 2.611032486
F 3.217113256
M 3.527303934
F 2.883829594
F 4.822553635
F 4.640189171
F 2.659080267
M 4.018643856
M 3.607676983
F 4.73444891
M 2.61602354
M 4.021669388
M 2.306711912
F 5.106832981
M 4.197517395
F 5.579579353
M 4.561083317
M 3.455413103
M 2.963556051
F 2.977675676
M 2.807594299
M 3.959605694
M 5.520411968
M 4.04310751
F 3.548716068
M 4.477374554
M 2.539607048
M 3.147601604
F 4.101396084
M 3.817091227
F 3.414942265
F 3.726451874
F 4.174915791
F 3.744838238
F 2.734022617
M 3.585308075
F 3.043566942
F 2.015683651
F 4.154977798
F 3.234361887
M 2.494015932
M 4.023816109
M 2.366060734
F 5.415601254
F 2.156723976
F 2.345915794
M 3.379772663
M 2.860116005
M 3.346283913
M 3.120215893
F 2.217960596
F 4.313447952
F 3.728960276
F 3.832452059
F 2.584758759
M 3.836796522
M 3.683550119
M 2.273145676
M 4.27031374
M 4.433903694
F 4.491519928
F 5.095713139
F 3.382488012
M 2.961228609
F 3.295831203
F 3.412123442
F 6.700584412
M 3.480756044
F 3.738890409
F 2.425668001
M 4.755705833
M 4.732535362
F 4.147116661
M 3.672120094
M 4.344480038
M 3.86865592
F 3.886990786
M 5.173680782
F 3.434207916
M 4.500751972
M 3.006018162
M 4.184147835
M 4.078173637
M 4.312258244
F 2.133294821
F 2.31180644
F 3.953657866
M 3.74276948
F 5.121391773
M 3.170435905
F 3.047781944
F 3.059651852
F 3.410028934
F 4.328343391
F 2.022252083
F 2.877700806
M 4.407268047
F 4.837501049
M 3.035550356
M 2.060679913
F 4.184147835
M 3.618641615
M 2.358432055
F 5.67575264
M 2.682095766
F 2.776536465
M 3.468834639
F 5.634350777
F 3.496427059
M 4.305353642
M 3.239921808
F 2.853340626
M 4.182389736
M 4.628940105
F 3.171522141
F 4.018643856
M 2.545710087
M 5.231529713
M 2.517393351
M 3.382436275
M 3.686627388
F 2.963556051
M 3.025619984
M 2.839427948
F 3.154299259
M 2.430219412
M 3.523631811
M 3.769560575
M 3.676852465
M 4.08334589
M 3.801575184
F 3.098027945
F 2.239475965
M 2.676561832
F 5.084075928
F 4.582728386
F 3.096812487
M 3.568680048
M 3.029990435
F 4.920821667
M 5.556408882
F 2.993191481
F 0.356867999
F 3.049126625
F 4.325472832
M 4.570832729
F 4.063588619
F 4.048279762
M 4.239643574
M 3.713444233
F 3.449723959
M 3.204286814
M 3.620399952
F 4.240419388
M 4.989014626
F 5.092221737
M 3.087063313
F 3.864777088
M 3.999068022
F 2.970046759
M 3.117500544
M 5.643375874
F 3.863018513
M 3.819392681
F 3.957873106
M 4.689038754
F 3.011784792
M 4.117248058
M 3.323242664
F 3.896196842
F 2.763890982
F 4.705123425
F 3.47457552
F 4.649628162
F 3.550422907
M 3.045273542
F 5.469622612
F 3.017138004
M 4.127592087
M 4.753016472
M 4.262270927
M 4.16863203
F 2.234252214
M 6.237432003
M 3.870130062
F 3.057324409
F 5.148389816
F 1.722275972
F 4.851336002
F 3.024042606
M 3.470955133
M 2.477387905
F 4.401320457
M 3.799040794
M 3.532062292
M 3.055850267
F 3.350809574
F 6.320184231
F 3.673025131
F 4.826381207
M 4.168399334
F 4.705149651
M 2.213615894
F 4.729457855
F 3.122698545
M 4.756481647
F 3.279047966
M 4.223558426
M 2.306711912
F 3.334569454
M 3.045506239
F 4.588857174
M 3.072168112
M 3.51670146
F 3.323837519
F 3.930720091
F 5.294550419
M 1.007557273
M 3.524769783
F 4.546317101
M 3.191123962
M 4.290225506
F 4.24766016
F 4.275097847
F 5.345882416
F 2.485714912
F 3.170435905
F 2.414289713
M 4.887695313
F 2.695879221
F 3.69792819
F 1.717052221
M 3.880680799
F 2.314495802
F 3.571110725
F 3.563844204
M 2.053232193
M 4.203051567
M 4.588288307
M 2.828101397
F 5.459485531
M 4.277399063
M 4.489063263
F 2.571958065
M 5.174068928
F 3.870905876
F 2.868856668
F 3.252955198
F 2.823860168
F 2.172317505
F 2.908732891
F 1.87984097
F 1.939499974
F 3.387660027
F 2.544546366
M 5.002048016
M 3.115043879
M 1.67340064
M 5.705052376
F 5.006495953
F 3.265755892
M 2.532340527
M 1.862850904
M 3.690273762
M 2.925955534
F 3.873827934
M 1.923363328
F 1.799855947
F 3.294564009
F 2.410462379
F 3.061824083
M 4.318620205
F 2.180437565
F 2.950832844
M 2.655873775
M 4.161882401
F 2.758538008
M 4.088336468
F 4.612803459
M 2.706843853
F 2.240174294
M 4.312258244
F 5.288421631
F 3.835865498
M 3.914195538
F 2.446356058
F 4.720639706
F 3.903282642
M 3.452930689
F 3.606564999
F 4.378537655
F 2.876537085
F 4.127255917
F 4.294053078
F 2.661588669
F 4.675824165
M 4.596718311
M 2.485404491
F 2.921947241
F 1.256796002
F 2.432520866
F 3.576851845
F 2.833040476
M 3.153549433
M 2.725773335
M 2.453001976
F 3.418459177
M 3.355257511
F 3.919186354
M 2.871391058
F 3.566507816
M 2.837462664
F 3.532243252
M 3.660974264
M 3.456188917
M 3.780111313
F 2.948583126
F 3.059625864
F 2.822127581
M 3.677809238
M 4.103464603
F 2.042707205
F 3.351792097
F 4.119911671
M 2.177412033
F 3.682463884
M 0.625811994
F 5.15374279
F 3.643156767
M 2.373948097
F 3.044316769
M 4.075535774
F 2.746254444
F 4.382727146
F 2.224089384
F 2.805861712
M 2.108598471
F 2.423107862
M 2.170662642
M 3.075581551
M 4.079518318
F 3.25140357
F 3.059289694
M 4.296923637
M 3.814401627
F 5.461399078
F 1.835827231
F 4.044504166
M 3.951407909
M 2.874597549
F 3.359446764
F 3.418692112
F 3.796247959
M 4.438687801
M 2.69590497
F 3.434207916
F 3.135318041
M 4.476417542
F 1.273036122
F 4.290380955
M 3.396426439
F 2.78744936
F 2.660631895
F 3.496272087
F 4.147943974
M 4.006334782
F 5.706370831
F 3.832452059
F 3.744683266
F 4.208999634
M 3.387660027
F 4.023014545
M 3.506564379
M 1.93313849
F 3.171341181
M 2.422564745
M 4.371244907
M 2.974805117
M 3.484350443
M 3.886990786
